text,label,review_date
"If you're using a gift card, make sure you ask for it back!",negative,2022-01-13
"Unfortunately I am rating a 1 star. We went around 5pm in the evening , no one else was there so when we went to order , the lady who was helping us was already annoyed and rushing us. i first ordered hot chocolate and she abruptly noted that she wanted us to order deserts before the drinks. We said , ok.  We asked questions about some of the deserts and she was very dismissive and again , rushing us. After ordering , we got about 8 things, she rings us up , wraps things up and went on to someone who had walked in . Still no drink. We say , you forgot about our drink , she's looks at us , super annoyed and confused ,  then I repeated to her what she initially told us and she said , oh yea. She makes the drink for Us then says ,' it's on me ' , but it was clearly on the bill. I have absolutely no interest in going back. And the goods were 'so-so' most definitely not worth the cost. I don't mind paying for quality but this  wasn't quality all around. Horrible customer service",negative,2022-01-16
"Really unique and interesting dishes. The staff is super kind and attentive. We had the shrimp and grits and a red beans and rice daily special--- incredibly Unique and delicious. 

Highly recommend an early lunch here bc it can sometimes get crowded later in the day.",positive,2022-01-17
"My fiancé went there Saturday night for his bachelor party. While there, he was playing the table games and drinking a few beers but not showing signs of over served in the least. He and one of his buddies went to the bar where his buddy bought them both a drink. The female bartender served my fiancé's friend, but not my fiancé. When he asked where his beer was, she said its coming then walked away. After waiting at the bar for about 10 minutes without getting his drink, I approached him at the bar asking what's taking so long. He reiterated what the bartender told him earlier that is was coming soon. He kept having to wave his hands to get the bartender's attention and she would just look at him and help someone else. He then asked the male bartender what's going on? He ignored him as the female bartender was explaining the situation. He approached us and said the bar staff got word to not sell my fiancé anymore alcohol and to talk to the manager for further info. Then a man in a suit walked up to us, asked for my fiancé's ID, wrote out his license number and explained that they are refusing to sell him alcohol. But he did not have a reason why. My fiancé has a Myotonic Muscular Dystrophy so he already stumbles and slurs when he is stone-cold sober. He only had at most 3-4 beers in the course of 3 hours. So he was not by any means, overly intoxicated. We explained the situation to the manger that he has a disease that makes him that way. He just looked at all of us and acted like his disease meant nothing. That my fiancé was over his drinking limit. All he wanted was a nice night out with his friends and family to celebrate our upcoming wedding! This is discrimination! We will be filing a formal complaint!",negative,2022-01-10
It was paacckkkeeddd when we arrived so I knew we were in for a treat. Were shopping in the area and found this place searching for mimosas on Yelp. Service was great. Our server paid special attention and worked to meet our requests (bcus I usually have several questions and requests). Lavender lemonade fireeeeee. My sister loved her megamosa and mom loved her honey margarita. Ordered the crispy brussels for a starter. So good and their homemade ranch 10/10. Our food was soooo good. I had to get the grits with goat cheese and glad I did. The bacon was cooked perfectly. Usually dont love eggs but theirs were so good added cheese. 10/10!!!!!!!! I added a fried chicken breast with some they spicy sauce and more ranch. The whole meal was excellent. I tried my sister pancakes and also fire. Finally dessert.... be sure to check yelp .... but the pecan was pie was great shouldve requested no chocolate drizzle but I know for next time & the banana pudding was good but too watery for my liking. All in all if you thinking about going here. Go. Thanks,positive,2022-01-16
Never received my food from DoorDash I didn't know who to contact about getting my order,negative,2022-01-10
Person is refusing to serve me because they are out of the cups needed to make my drink. But I can see her literally making other people's orders in similar cup? I asked why and am told it's against their policy?,negative,2022-01-17
"Only giving one because I can't give it zero. I have worked In Costumer service for over a year and have been able to manage at least one shift by myself and the guy working here obviously shouldn't be left alone. He was rude and was constantly asking me ""is that it"" when I would add something to my order, mind you all I got was a matcha drink and a ham and cheese croissant. They didn't have expresso? Or caramel? Are you even Starbucks? The guy was rude af such a jerk. Also there was no need to rush me because there was no line!",negative,2022-01-12
"Take a look at our photos. The avocado toast was delightful as was the salad.  The coffee is just OK. Sometimes it taste a little bit over cooked/burnt and bitter. But not terribly just might be the things that they are using or clean out the machine. Coffee like wine can be so subjective as well.

Looks like they've got a vegan sandwich which we are looking forward to trying.

The bread  on the avocado toast was multi grain and delicious. As you can see from any other reviews there are lots of charming places to set up prepared for a whole parking lot if you come at popular times.  However there's often parking on the street

Just be mindful if you're trying to cut the avocado toast your fork might break. I look forward to the day when they go back to real cutlery",positive,2022-01-09
This is my first time trying this place.Food was excellent! I ordered  the 10 piece wing and my husband order the Philly cheesesteak. The wings were very crispy and my husband enjoyed the philly. Definitely will be back.,positive,2022-01-09
"On previous visits the Lemon Marzipan cake, chai latte and Ladybird chocolates were most enjoyable. However, I stopped by this week and ordered the vegetable quiche to go. The portion was generous although the cost was on the high side at $14.50 and the dried tomatoes they put in the quiche were inedible. It was like eating pieces of cardboard. Most disappointing.",negative,2022-01-15
Awful service. Rarely get the our order right. And I don't think they care either. ..,negative,2022-01-09
I'm always pleased with Kung Fu Tea. My favorites are the green milk tea and yogurt tea!,positive,2022-01-12
"Setting aside the shitty food, everyone is talking about the friendly service.  The owner shared how racist he was and assumed darker skin patrons were illegal immigrants.  Tucson deserves to know this place is a racist establishment.",negative,2022-01-10
"They got taken over by new management and the food is SO bad now :( completely flavorless. The Tofu Satay used to be so amazing and now it's soggy unseasoned tofu:( the gai chicken is the same so little flavor:(  
Literally want my $25 dollars back. Before I would've spent that on the amazing food but this is BAD",negative,2022-01-17
I've been coming to Luna for the past year and a half and they never disappoint! Always have the best coffee and friendliest staff. All breakfast sandwiches are homemade in house by the owner! Haus always has time to chat with all of his customers and is always so kind and accommodating.,positive,2022-01-19
"Inconsistent on COVID rules. I was there for less than 30 minutes when employees interrupted my meeting several times to tell me to wear a mask when I was actively eating or drinking. One of the times, I was in middle of a sip. Straw in mouth. The other time, I was chewing my pastry. I looked around and saw five other people without masks. There was two who didn't have any drink or food on their table space. Rather frustrating that I am following the rules and being punished and others aren't. When I brought it to the managers attention, he said they are new at implementing this policy. He couldn't or wouldn't  explain why I was being singled out. I left quickly after.",negative,2022-01-11
This place always has reliably good coffee & food. Love to get the specialty latte and they have a very good savory scone with rotating flavors. Possibly the best bagel breakfast sandwich I've ever had - love that jalapeño bacon! They also have good dairy free and vegetarian options. Right now they are order online and pick up only but they were open for dine in for parts of 2021 do I'm hoping they open back up soon.,positive,2022-01-12
"Darn! Missed it!!!
Found it on a Thursday at 6:30 pm and the gates were locked! 
No sign. No nothing! 
Will try again but just a bit disappointed!",negative,2022-01-14
"Incredible food in a very low-key area. 
Only reason I'm giving four stars instead of five is being that the server/bartender was a bit of a ""mellow fellow"" himself. On his phone the whole time, even while our food was sitting in the window ready to be taken to the table. We were the only table sat in the whole restaurant and really expected better service. Had to wait 10 minutes for him to come check back with us to ask for ranch, by then we were just about done eating. Will return for the food, but don't come here unless you're patient.",positive,2022-01-15
Last Watch is more like it. This restaurant is so short staffed. We waited about 20 minutes before our drink order was brought to our table. We also waited over an hour for food to come out. The restaurant itself was not too busy but the online/takeout orders were their priority. We must have watched at least 20 take out orders come out of the kitchen. We also did not get our food at the same time. We were a party of 10 (some of us even shared an order) and one dish at a time was brought to us at a time about 5‐7 minutes apart. My daughter was done eating about 20 minutes before I received my order that was missing a soup. I did not see any manager or supervisor on duty. The only reason that it got 2 stars instead of 1 is that the food was pretty decent. We definitely felt like we were on the Last Watch instead of First Watch.,negative,2022-01-16
"They don't fail to disappoint. The last two times we've ordered either pickup or delivery several items were missing. When I called to point out that items were missing the manager blamed the staff, but would not make up for the missing items we paid for. Shame on me for going back there. I would actually prefer to drive the extra miles to the Wood River location. If you don't mind paying for things you'll never receive, getting cold food, and overall bad customer service this is the place for you.",negative,2022-01-16
House blend coffee out. Dark roast cold. No onion bagels. Ample staffing with 4 employees and only 3 patrons. Took 15 mins for a breakfast wrap. Not impressed.,negative,2022-01-09
"AMAZING FOOD AND SERVICE!! I work right next to The Local Deli, so I go here quite frequently. They have one of the best Greek Salads I've ever tried. I also get the Chicken Salad Sandwich, it's amazing! The bread is always fresh! I love Publix subs but the Loval Deli has them beat, in my book. The employees are amazing as well always polite with a smile on their face. Would recommend that if you order from here, order on the website. Support local businesses!",positive,2022-01-10
We came here due to seeing the test tube type things; basically seems like a fun and novel idea. I ended up getting a coffee drink And honestly it was almost unthinkable. The consistency and the taste were way off.,neutral,2022-01-12
"It's been awhile since I ordered a Kung Fu Milk Tea from them. This time I was somewhat disappointed because I didn't like the switch of their tea in their milk tea.  They are now using Earl grey tea, which I personally not a big fan of that.",neutral,2022-01-12
"Been there two times and both times they forgot my order. First time they lost my ticket and I wanted was a cappuccino. My second visit they just legit didn't make my order and had my ticket, not sure how that even happens. Maybe they were too focused on talking and cleaning. So my kids and I waited 30 mins for 2 sandwiches and a latte. And both times I got zero apology, the hipster staff they have there thinks they're too good to own up to their mistake but will easily take your tip and make it seem like you're the issue.",negative,2022-01-10
"Still one of my favorite spots to grab a coffee and post up for some work in Santa Barbara. Very spacious facility with nice clean restrooms and a couple parking options. The coffee is delicious and unlike a lot of coffee shops in the area, this one actually offers filling breakfast options - double check on social before visiting but this has been the case every time i've gone. Great spot near downtown! Will be back.",positive,2022-01-16
"I rarely leave reviews, but the service deserves one. I ordered 6 assorted donuts and 1 large iced coffee with cream and hazelnut. The sticker on the coffee clearly says hazelnut, but there's none in the coffee. Just coffee and cream. Out of the 6 donuts I ordered only 2 are correct. 4 of them are not at all what I ordered. I got it all delivered through uber eats, so I realized I was taking a small chance, but this is ridiculous.",negative,2022-01-14
"Got the Sunrise Sammy and Eggspanola which are pretty much the same thing with different bread and styles of egg. I personally liked the Sunrise Sammy.

Ordered off DoorDash and I was surprised because for some reason, food that I DoorDash tends to be of lesser quality in comparison to dining in somewhere or picking up the food myself. This meal tasted like it just left the kitchen. Even after letting the sandwich sit for some time (because I got full), it still tasted amazing. I've never thought of sticking a hash brown into a sandwich but there's nothing to hate about it. I'd come here just for the breakfast sandwiches.",positive,2022-01-19
"I would give 0 stars if I could. I made a mobile order. I decided to go into the store and check on my order after waiting 12 minutes in the designated parking spot. The cashier looks in the system and said ""We don't have your order"". I pull up the app and confirm that I made an order, showed my receipt to the cashier. She gets a manager, Karina. The manager looks in the computer and says ""we don't have your order"". I preceded to show her my order on the mobile app. She walks away. I wait thinking she's fulfilling my order. Nope, she just walked away. So ask the cashier to get the manager back. The manager proceeds to tell me there is nothing they can do if the order isn't in their system. She can't be sure via the mobile app that I paid. I proceed to show her the email confirmation which has my credit card information, the authorization code and amount paid. She continues to say there is nothing she can do. Mobile ordering is different from McDonald's. Even though it was the McDonald's app that I used! When money is taken and services or products are not received that is by definition STEALING! I'm currently waiting on corporate to refund my monies. I will never go to this establishment again.",negative,2022-01-13
"These aren't good donuts. Spit out each piece we tried. They're incredibly chewy, which I guess some people might like, but why. Thegly aren't Dutch donuts which you can get at any other Dutch market across PA, NJ or DE. Also, we asked for an Oreo donut, which are made to order, and the woman (who was handling ringing people up hence handling money)  used her bare hand instead of using the hand with a glove or plastic wrap to hold the donut. When she saw me look, she switched right away.  Woops? I asked for a Boston cream instead. That one sucked too.",negative,2022-01-17
"This is the worse dunkin donuts in the world. Their service, drinks, and food are so bad that I go out of my  way to drive 10 mins to the next Dunkin. I have ordered 10 different drinks there. Hot and cold. The drinks are never liquid. They put so much syrup in it that it's consistency is that of a syrup. Even if you ask for an unsweetened drink they still manage to put corn syrup or caramel or vanilla swirl in it. THE WORSE PART- when you tell them they made your drink wrong they get mad at you. ??!? Please make it make sense. The lady that works there almost 24/7 is so rude. I genuinely have never met anyone like that before. She gives dirty looks and talks with a nasty attitude. Every English muffin sandwich or bagel I have ever gotten from here has been burnt. Not just burnt, charred. And it's not just me, I've asked at least 5 other friends that live in the area and they all tell me that they also intentionally avoid that dunkin because they've had so many bad experiences. They also drive 10 mins to the next one. Please don't come to this dunkin. Do yourself a favor and drive to any other dunkin. Or go home and make yourself a coffee.",negative,2022-01-18
This was probably the worst breakfast sandwich I've ever had. It felt like I wasn't eating a sandwich just stale bread. There was barely any steak or eggs on it. The bread was dry and the size was smaller than what I paid for.,negative,2022-01-18
Love their #1 on the menu. The amount of sugar added is just right. Not too sweet and their mini pearls are so much better than regular ones.,positive,2022-01-10
"Ordered donut, gave me wrong donut and when I went back lady gives me bad attitude. Never going to that place and she just throw at me . This Happened many times , you place and order and they end up giving wrong stuff. Last 3 times I never back. How many times they will continue do this? we pay and still get an attitude from them. Unprofessional.",negative,2022-01-12
Let me start by saying that I love Duck Donuts.  The reason for poor rating was the staff.  Not that they were not friendly but every girl working there appeared that they rolled out of bed and straight to work.  5 girls were working the morning of 1/8 and they all looked like they combed hair with a blender.  Their hair was so messy and hanging in their faces.  One girl making a milkshake kept pushing hair out of her face so she could see.  I am sure people had hair on donuts.   Come on management!   This is disgusting.,negative,2022-01-09
