text,label,rating,source,restaurant,location
"Food is good, fast service and reasonable price.",neutral,3.0,google,Wang Chiew Seafood Restaurant,Langkawi
It's no longer the same. Crab fried rice was so different. I'd give full 5 stars for the previous version. What I was served was simply wet egg fried rice with bits of crab. Uninspiring and I hope they'd stick back to the original style,negative,1.0,google,Jatujak Bangkok Street Food,Petaling Jaya
Great taste and the real nyonya food taste to server,positive,5.0,google,Amy Heritage Nyonya Cuisine,Melaka
"Really as everyone admires, beef burgers are especially juicy and delicious. They also call a pasta chicken sauce. They are also very good. Their iced fruit tea is also very good. The Filipino waiter service is also",positive,5.0,google,Café Racer by Grillbar,JB
"Food taste so so but very pricey.. the man who came to take our order was super rude! I think he is the owner of the shop.. he came to us without any smile, and he left us while we were half way ordering our food without saying anything !",negative,1.0,google,Cottage Spices Nyonya Restaurant,Melaka
"As a Ipoh born Chinese, my tastebuds should be fairly accurate. This restaurant had been in Ipoh for ages but survived much competition, recessions etc. Generally speaking, it offers average/above average Cantonese dim sum. There is much variety, has many tables, which are often occupied in the peak times. Dim sum is OK, good sized portions. The taste is ok but not refined. Pricewise it's reasonable but cost more than traditional hawker food. For e.g. a large bowl of congee costs M$9.50.",neutral,3.0,tripadvisor,Foh San,Ipoh
"Spacious, gorgeous interior and the food is good but the service is confusing. Servers speak a splatter of different languages, inconsistent from person to person, and the ordering system is paper based confusion with analog mouth to mouth. No clear menu and order list doesn't show what you've ordered and what price.",negative,2.0,google,Foh San Restaurant,Ipoh
The ambience is a real authentic old Chinese decoration. Those 60-70s feeling. Interesting cocktails selection. Will go there again for the drinks.,neutral,3.0,google,Old Shanghai,KL
"View Is Amazing , But the Food 😢😢😢😢",neutral,3.0,google,Vertigo @ Banyan Tree Kuala Lumpur,KL
Service too slow,negative,1.0,google,"Warong Nusantara Bukit Mata Kuching, Kuching, Sarawak.",Kuching
The dirtiest restaurant I have ever seen. Flies are everywhere and they don’t clean the table properly.,negative,1.0,tripadvisor,Moms Laksa,Kuching
The food was average compared to the last time we dined here. Service could have been faster as we waited quite a while for our food.,neutral,3.0,tripadvisor,Nancy's Kitchen Restaurant,Melaka
Food is not that fantastic! Expensive though!,negative,2.0,google,Big Food F&B - Taman Nong Chik,JB
"Food is great, but not all stall have the same way of cooking ane taste. However wait time is a little slow.",neutral,3.0,google,Topspot Food Court,Kuching
"Sadly we were disappointed by this restaurant. It seemed to catering more for the local clientele (no Pork!) which meant there were non of the glorious Italian salamis and hams that you would expect.. There was only one chicken dish (a leg) and the lamb osso bucco wasn't what we expected either as there was no bone insight, just a pile of stew. In other ways the menu was sometimes misleading (items described as ""with"" which came without) and the service was not as good as it could have been.",negative,2.0,tripadvisor,Il Bacaro,Penang
"The meal is very nice - had the poach egg salad starter, burger (in french Restaurant?!) and banofee ice cream as a package meal for RM 88. Hype get together place with rows of restaurants next to Sheraton Imperial so it's handy if you're looking for dining outside the hotel",positive,5.0,google,Restaurant Dominic,Petaling Jaya
"The food was decent, but regretfully i had to use the toilet, and it was absolutely a disaster. I cannot believe a restaurant can operate under such a repulsive conditions. It stank from yards away, had flies everywhere inside, the walls were moldy and covered with what appeared to be faecal matter. What on earth is the management doing? How did they get the license approved? Has the city council inspected this repulsive restaurant? Absolutely disgusting.",negative,1.0,tripadvisor,Vishal Food and Catering,KL
The butter sotong is the best. Crispy and flavorful. Love the butter sotong so much.,neutral,3.0,google,The Venue,Kuching
"Visited Sea Good Sea food on Feb 2017, it is a festive season, expected to be a higher charges on the food price. Food is nice, especially the Crab, tried the fried crab with egg and it is acceptable. Please call to book if you want to eat crab as most of the time the crab will be sold out if you go walk in.Location is good. Recommended.",neutral,3.0,tripadvisor,See Good Food Centre,Kuching
nice food,positive,5.0,google,我家餐館Our Kitchen Nyonya Restaurant,Melaka
I've lived in a nearby condo and visited verve shops frequently. There are two restaurants of very similar style next to each other; La Casa and B-Lab. Both the menus are good but I feel La Casa really lacks on the breakfast front. They have decided to refrain from pork sausages and bacon offering a very bland chicken/beef based alternative which is like tasteless rubber. The restaurant doesn't seem to be Halal so I'm not sure why they would make this choice (next door has a full pork menu). RM30 for a full breakfast is quite high priced in comparison so I would expect better. Most other main course range RM20 - RM40 with some higher priced items.,neutral,3.0,tripadvisor,La Casa Restaurant & Patisserie,KL
"I love the fried bitter gourd!! But could have been better if they don't skimp on their curries.

Also I thought the curries here were a bit too diluted for my liking. Could have been better. 

Definitely not the best banana-leaf-rice place",neutral,3.0,tripadvisor,Raj's Banana Leaf,KL
Nothing nice to eat or drink. Maybe it’s a nice place to chill with friends. Just don’t expect to get nice food there.,negative,2.0,google,Awesome Canteen,Penang
Sei eating too failed with my bride,negative,1.0,google,ATLANTIS RESTAURANT,Langkawi
"This is our second time visiting after a fabulous first time here. This time the kids opted to noodle doodle. Two thirds through the doodling, a big tour group arrived to do the same activity. We were happy to share our tables but the Mamee",negative,2.0,google,Mamee Jonker House,Melaka
No doubt this is the number 1 restaurant voted by trip advisor! Service is impeccable food is superb! Had the duo wagyu and everything was done to perfection! A pity i was on a non seafood diet that night but my choice was not limited. Have to special mention the wagyu sausage like the local sausage tasted extremely well! Highly recommend!,positive,4.0,tripadvisor,Skillet KL,KL
"The restaurant was full, we had to wait but a few minutes for a table, huge menu and wine list. Excellent waitress, knowledgeable with good suggestions. It's all things pork, we had the chiefs special rib platter. Was tasty and fillingGreat place to celebrate a special event.",positive,5.0,tripadvisor,El Cerdo,KL
Bestt,positive,4.0,google,Hornbill Restaurant & Cafe,Petaling Jaya
We went there just a few days ago and was dissatisfied as there was no buah keluak and all the dishes are too sweet.,negative,2.0,google,Amy Heritage Nyonya Cuisine,Melaka
Prices are quite expensive.,neutral,3.0,google,MacGregor's,JB
The sweet apam with coconut milk is a must,neutral,3.0,google,Aliyaa,KL
Friendly n gd service. Food n drink nice especially coffee,positive,5.0,google,Hainan Cafe,Miri
"Good service but food was below expectation. We went there after hearing great reviews from a friend so we had pretty high expectations. Alas, the fish was way too greasy that my stomach started to feel queasy by the second half of",neutral,3.0,google,Cor Blimey British Fish and Chips (Damansara Uptown),Petaling Jaya
The desserts here are great but a bit too sweet! The nutty chocolate crepe could’ve come with toasted nut pieces so that they are not soft and lost out the textures! It is spacious and staff is friendly. You can access here from the hatred Hotel!,neutral,3.0,google,Molten Chocolate Cafe Dataran Pahlawan,Melaka
"Had the banana leaf rice on a sunday last month. The fried fish was perfect, juicy inside and crispy on the outside - 5 stars. Took 2 stars off for the lazily made curry gravy. All 3 types of gravy offered were watered down and flavourless - curry powder and boiled water  concoctions.",neutral,3.0,google,Raju Restaurant,Petaling Jaya
"I guess this korean restaurant is new here in malaysia. I love korean foods but i don't think its recommendable since it doesn't taste like Korean dish and also i guess there chef don't know how to cook. Waiting for 20 minutes for our order to be serve and they serve us a bloody honey chicken with a smell. really disappointed,but there servers a good enough to handle our complain they change our order give us complimentary ice cream (which is really tasty ice cream) waiting for another 20 minutes but still the chicken that they serve still got smell (awful).Pros: Staff & ambiance",negative,2.0,tripadvisor,KyoChon Pavillion,KL
First place I consumed any food in Malaysia. Went there because of trip advisor reviews. Food was great. Waiter forgot about my main but it was worth the wait. Not hygienic by any standards but in Asia you kinda just have to get over it. Would recommend. Cheap too,positive,4.0,tripadvisor,Tg's Nasi Kandar,KL
"The layout and deco is so so French. When you are inside, you literally felt you could be in France. The food is cooked by 1Star Michelin Chef, and usually they are French. Price is on the reasonable-high but its well worth it. Freshly baked bread and pastry. The food is ""very good"" for a relaxed dine-in.",positive,4.0,tripadvisor,Yeast,KL
8pm service is poor (1*) for a large restaurant. Had to waived many times for service. Food (4 *) was good except pricy. Browse through menu & clarify for reasonable price food. Staff recommendation were pricy. Pu er tea came about 20mim later after 1st dish was served.,neutral,3.0,google,Restoran Pekin,JB
The food eas good. Only it does not accept credit card. So hv to bring cash with u.,neutral,3.0,google,Piato Bistro,Miri
The food was really awful.... Very bad service....,negative,1.0,google,Restaurant D' Tandoori House,Melaka
"So so, below my expectation. Definitely not top 10 in Penang, not in my view.. Had better ones elsewhere. Interesting to note that the sisters have been doing this since 1946..",neutral,3.0,google,Air Itam Sister Curry Mee,Penang
"Overrated place. The steam fish was fresh but overcooked, grilled cheese lobster looks tempting but taste average. Kam heong lala taste great.",negative,2.0,google,Wonderland Food Store,Langkawi
Had lunch on a week day. Most patrons were on business lunch. The service was slow and inattentive. No smile. Not an enjoyable experience.,neutral,3.0,tripadvisor,Gastro Sentral,KL
"Good for gathering, food above average",positive,4.0,google,Malai Thai Cuisine @ Cormar Suites,Petaling Jaya
"Dim sum is ok, not amazing. Typical chinese waiter behaviour. Like this waiter brought a tray out and i said its ok, she was like you don't want any? There's nothing left! Parking attendants too, so annoying",neutral,3.0,google,Ming Court Hong Kong Dim Sum 明阁香港点心,Ipoh
Very good service fast and all staff are energetic...the food is also tasty...is not like typical lousy restaurant....,positive,5.0,google,STREAT Thai,Petaling Jaya
Can’t give any better ratings than this even though really wanted to as #ImAFan simply because the service here sucks big time 🙇🏻‍♀️,negative,2.0,google,Lai Po Heen,KL
Best place in PJ for enormous size Italian pizza plus pasta are good too - Non Halal though.,positive,5.0,google,Enorme Italian Restaurant,Petaling Jaya
"Quite exp and food honestly wasn't edible at all, forced ourselves to eat them.The prawn we ordered had burning smell and taste while the fried crispy which",negative,1.0,google,Kapal Layar Langkawi,Langkawi
Reasonably good in terms of quality and pricing,neutral,3.0,google,Restaurant Sze Zai Hiong (食在乡),JB
"When I came, there were a lot of people, the food was delicious but it was slow to wait for all the dishes to arrive. Until I lost the climax to eat. The rice is also served until cold.",neutral,3.0,google,Anjung Senibong,JB
Meh?,negative,2.0,google,Dehappy Seafood Restaurant,Penang
"Reserved a dinner for two for my birthday. Was initially seated at a table away from the window, but the waiter was very helpful in trying to get us a seat by the table which we did get at the end. Menu had good varieties, price was reasonable for a fine dining experience. Was waited by Izhar, who was so welcoming and nice. He even put on a small performance singing happy birthday for all those who was celebrating. Definitely would recommend coming here for a fine dining experience that wont hurt the wallet, with the best view in KL.",positive,5.0,tripadvisor,THIRTY8,KL
"This place has managed to maintain quality of food served for a very long time. If u love banana leaf rice, u won't get disappointed here.",positive,5.0,google,Sri Nirwana Maju Restaurant - Bangsar,KL
"Celebrate mum birthday there, nice environment, nice food but expensive.
Free birthday song from waiters and waitress there",positive,4.0,tripadvisor,Ishin Japanese Dining,KL
Very nice authentic Nyonya cousine. Better reserve before u go.,positive,5.0,google,Winn's Cafe,Penang
"Came here for lunch and ordered mutton biryani. The taste of biryani was okay, nothing to brag about though. Rice has little taste and kind of grainy. Some of the mutton pieces were tender and some were hard to bite. Perhaps the owner should invest in air-conditioning because it was very warm and we were sweating inside.",neutral,3.0,tripadvisor,Bamboo Biryani 'taste & see',Shah Alam
Nice but expensive for locals. The food is abit spicy,neutral,3.0,google,Restaurant Veloo Villas,Penang
"The service here is awful! Waited over 20 minutes for garlic bread which we requested to come out with the meal and then a further 45 minutes for our main course. We also had to ask four times for water and waited around 15 minutes for that. There seems to be no system and the waiters don't know what they're doing, with food being taken to wrong tables and some members of the table being served and not others. Would not recommend.",negative,2.0,tripadvisor,Ben's,KL
